Flag,Student Number,Assignment Name,Submission File Name,Answer File Name,Version,Volume Mark,Surface Area Mark,Center of Gravity Mark,Moment of Inertia Mark,Subjective Mark,Total Mark
Flagged,400025775,Lab Week 1,400025775_VN.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400025785,Lab Week 1,400025785_VL.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400026211,Lab Week 1,400026211_VB.stl,ANSWER_VB.stl,VB,0/5,1/5,0/5,0/5,0/0,1/20
Flagged,400026239,Lab Week 1,400026239_VP.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400026267,Lab Week 1,400026267_VI.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400026455,Lab Week 1,400026455_VP.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400027079,Lab Week 1,400027079_VH.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400027340,Lab Week 1,400027340_VN.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400027397,Lab Week 1,400027397_VU.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400027533,Lab Week 1,400027533_VK.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Not Flagged,400027594,Lab Week 1,400027594_VC.stl,ANSWER_VC.stl,VC,5/5,5/5,5/5,5/5,0/0,20/20
Flagged,400027710,Lab Week 1,400027710_VT.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400027941,Lab Week 1,400027941_VE.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400028061,Lab Week 1,400028061_VK.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400028850,Lab Week 1,400028850_VN.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400028861,Lab Week 1,400028861_VG.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400029500,Lab Week 1,400029500_VV.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400029570,Lab Week 1,400029570_VD.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Not Flagged,400030093,Lab Week 1,400030093_VB.stl,ANSWER_VB.stl,VB,5/5,5/5,5/5,5/5,0/0,20/20
Flagged,400030174,Lab Week 1,400030174_VD.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400030456,Lab Week 1,400030456_VP.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400030994,Lab Week 1,400030994_VX.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400031438,Lab Week 1,400031438_VS.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400031763,Lab Week 1,400031763_VQ.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400031820,Lab Week 1,400031820_VF.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400031884,Lab Week 1,400031884_VX.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400032036,Lab Week 1,400032036_VO.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400032054,Lab Week 1,400032054_VJ.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400032266,Lab Week 1,400032266_VW.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400032411,Lab Week 1,400032411_VC.stl,ANSWER_VC.stl,VC,0/5,0/5,0/5,0/5,0/0,0/20
Flagged,400032552,Lab Week 1,400032552_VZ.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400032637,Lab Week 1,400032637_VD.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400032838,Lab Week 1,400032838_VI.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400032893,Lab Week 1,400032893_VR.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400033126,Lab Week 1,400033126_VS.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400033245,Lab Week 1,400033245_VW.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400033250,Lab Week 1,400033250_VQ.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400033305,Lab Week 1,400033305_VG.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400033471,Lab Week 1,400033471_VE.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400033484,Lab Week 1,400033484_VN.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400034344,Lab Week 1,400034344_VV.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400034584,Lab Week 1,400034584_VL.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400034739,Lab Week 1,400034739_VZ.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400034808,Lab Week 1,400034808_VG.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400034961,Lab Week 1,400034961_VX.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400035207,Lab Week 1,400035207_VS.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400035405,Lab Week 1,400035405_VK.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400035499,Lab Week 1,400035499_VL.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400035986,Lab Week 1,400035986_VL.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400036364,Lab Week 1,400036364_VR.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400036404,Lab Week 1,400036404_VO.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400036920,Lab Week 1,400036920_VU.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400037400,Lab Week 1,400037400_VJ.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400037454,Lab Week 1,400037454_VS.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400037607,Lab Week 1,400037607_VT.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400037727,Lab Week 1,400037727_VL.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400039131,Lab Week 1,400039131_VI.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400039166,Lab Week 1,400039166_VM.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
Flagged,400039583,Lab Week 1,400039583_VV.stl,No_Answer.stl,NV,0/0,0/0,0/0,0/0,0/0,0/0
